in_volume	in_flowrate	in_pressure	out_volume	out_flow	out_pressure	y1	y2	
6329.47	88.96	14.53974774	5949.7018	87.1808	14.53974774	0	0	no leak
6277.03	79.36	14.25677982	6277.01	72.2176	14.11421202	0	0	no leak
7016.61	64.36	13.09225982	7016.6	63.0728	12.96133722	0	0	no leak
1128.5	27.08	14.53974774	1128.42	24.1012	14.39435026	0	0	no leak
9677.82	45.93	14.25677982	9677.73	40.4184	13.97164422	0	0	no leak
4764.09	14.03	13.09225982	4764.06	13.6091	13.09225982	0	0	no leak
2373.27	35.96	14.53974774	2373.18	34.5216	14.39435026	0	0	no leak
8982.55	13.01	14.25677982	8982.54	12.8799	13.97164422	0	0	no leak
5854.93	29.46	13.09225982	5854.92	26.514	12.96133722	0	0	no leak
4124.51	33.84	14.53974774	4124.47	30.456	14.39435026	0	0	no leak
7721.16	54.08	14.25677982	7721.1	49.2128	14.11421202	0	0	no leak
8974.33	32.48	13.09225982	8974.24	30.5312	13.09225982	0	0	no leak
5804.25	27.04	14.53974774	5804.16	24.0656	14.53974774	0	0	no leak
8392.03	14.89	14.25677982	8391.95	13.6988	13.97164422	0	0	no leak
3340.34	16.06	13.09225982	3340.3	14.7752	13.09225982	0	0	no leak
1109.75	65.12	14.53974774	1109.67	61.2128	14.39435026	0	0	no leak
6549.18	54.02	14.25677982	6549.12	50.7788	14.25677982	0	0	no leak
1652.93	21.61	13.09225982	1652.9	20.3134	12.96133722	0	0	no leak
616.72	98.09	14.53974774	616.69	86.3192	14.24895279	0	0	no leak
5607.43	88.18	14.25677982	5607.42	86.4164	14.11421202	0	0	no leak
5116.4	53.66	13.09225982	5116.38	52.0502	12.96133722	0	0	no leak
3452.29	93.52	14.53974774	3452.27	86.9736	14.53974774	0	0	no leak
6548.56	19.29	14.25677982	6548.5	18.5184	14.25677982	0	0	no leak
788.68	79.19	13.09225982	788.58	69.6872	12.96133722	0	0	no leak
9557.69	11.22	14.53974774	9557.6	11.1078	14.39435026	0	0	no leak
678.87	44.24	14.25677982	678.78	39.3736	14.25677982	0	0	no leak
4687.4	3.99	13.09225982	4687.32	3.9501	13.09225982	0	0	no leak
5458.78	61.39	14.53974774	5458.74	57.0927	14.24895279	0	0	no leak
2415.03	86.43	14.25677982	2414.95	82.9728	13.97164422	0	0	no leak
4532.33	46.32	13.09225982	4532.31	45.3936	12.96133722	0	0	no leak
3624.15	29.96	14.53974774	3624.09	28.7616	14.53974774	0	0	no leak
2179.85	23.7	14.25677982	2179.79	22.041	14.25677982	0	0	no leak
6955.33	68.03	13.09225982	6955.32	65.3088	12.96133722	0	0	no leak
5704.3	21.27	14.53974774	5704.22	19.5684	14.24895279	0	0	no leak
7960.22	57.12	14.25677982	7960.16	51.408	14.11421202	0	0	no leak
5588.38	25.61	13.09225982	5588.29	23.8173	13.09225982	0	0	no leak
3779.38	95.48	14.53974774	3779.28	84.9772	14.24895279	0	0	no leak
987.34	69.7	14.25677982	987.33	62.033	13.97164422	0	0	no leak
1012.18	36.48	13.09225982	1012.16	33.1968	13.09225982	0	0	no leak
5082.6	66.05	14.53974774	5082.5	63.408	14.53974774	0	0	no leak
1444.71	38.73	14.25677982	1444.7	36.7935	14.25677982	0	0	no leak
840.81	31.57	13.09225982	840.77	29.6758	12.83041462	0	0	no leak
145.56	97.69	14.53974774	145.55	89.8748	14.24895279	0	0	no leak
6092.51	87.94	14.25677982	6092.46	80.9048	14.25677982	0	0	no leak
9854.28	14.76	13.09225982	9854.21	14.4648	12.83041462	0	0	no leak
1554.3	52.32	14.53974774	1554.26	48.6576	14.39435026	0	0	no leak
2919.22	50.4	14.25677982	2919.19	45.864	14.11421202	0	0	no leak
4833.85	8.85	13.09225982	4833.77	8.0535	12.83041462	0	0	no leak
5663.12	55.08	14.53974774	5663.1	49.572	14.24895279	0	0	no leak
6223.16	35.11	14.25677982	6223.09	31.9501	14.25677982	0	0	no leak
8792.32	90.11	13.09225982	8792.22	80.1979	12.83041462	0	0	no leak
9448.41	17.7	14.53974774	9448.36	16.107	14.53974774	0	0	no leak
9601.84	85.76	14.25677982	9601.75	78.8992	13.97164422	0	0	no leak
4494.4	79.55	13.09225982	4494.37	78.7545	12.96133722	0	0	no leak
4176.26	24.62	14.53974774	4176.23	23.6352	14.24895279	0	0	no leak
6980.54	69.03	14.25677982	6980.53	62.8173	14.11421202	0	0	no leak
4530.03	44.77	13.09225982	4530.01	42.5315	12.96133722	0	0	no leak
625.93	0.79	14.53974774	625.9	0.7821	14.53974774	0	0	no leak
18.55	95.81	14.25677982	18.47	91.9776	14.25677982	0	0	no leak
8503.1	87.16	13.09225982	8503.03	81.9304	13.09225982	0	0	no leak
383.38	9.18	14.53974774	383.34	8.0784	14.53974774	0	0	no leak
3912.32	67.04	14.25677982	3912.3	65.6992	13.97164422	0	0	no leak
1119.29	53.84	13.09225982	1119.24	52.2248	13.09225982	0	0	no leak
1083.34	29.78	14.53974774	1083.25	29.1844	14.39435026	0	0	no leak
1717.01	17.23	14.25677982	1716.92	15.6793	14.25677982	0	0	no leak
5651.17	76.6	13.09225982	5651.11	68.94	13.09225982	0	0	no leak
2043	34.23	14.53974774	2042.93	33.8877	14.39435026	0	0	no leak
2080.95	72.7	14.25677982	2080.87	64.703	14.25677982	0	0	no leak
6569.81	62.98	13.09225982	6569.77	61.7204	13.09225982	0	0	no leak
7316.6	55.46	14.53974774	7316.57	53.2416	14.53974774	0	0	no leak
4309.57	35.73	14.25677982	4309.49	33.9435	14.11421202	0	0	no leak
8578.36	82.38	13.09225982	8578.31	73.3182	12.96133722	0	0	no leak
7084.27	76.88	14.53974774	7084.19	73.036	14.39435026	0	0	no leak
6546	34.64	14.25677982	6545.9	31.8688	14.25677982	0	0	no leak
6522.42	20.75	13.09225982	6522.36	19.505	13.09225982	0	0	no leak
6743.47	75.22	14.53974774	6743.46	66.1936	14.39435026	0	0	no leak
9545.87	34.22	14.25677982	9545.81	30.4558	14.11421202	0	0	no leak
1392.72	61.31	13.09225982	1392.63	55.7921	13.09225982	0	0	no leak
641.42	77.87	14.53974774	641.37	68.5256	14.39435026	0	0	no leak
3261.46	96.28	14.25677982	3261.36	85.6892	14.25677982	0	0	no leak
1310.77	16.74	13.09225982	1310.68	15.4008	12.83041462	0	0	no leak
9759.37	7.49	14.53974774	9759.32	6.8159	14.53974774	0	0	no leak
8409.05	39.8	14.25677982	8409.02	37.81	13.97164422	0	0	no leak
7604.88	52.04	13.09225982	7604.8	45.7952	13.09225982	0	0	no leak
5609.78	38.07	14.53974774	5609.71	33.8823	14.39435026	0	0	no leak
1029.56	13.69	14.25677982	1029.49	12.0472	14.11421202	0	0	no leak
9618.82	74.56	13.09225982	9618.73	71.5776	13.09225982	0	0	no leak
2654.09	24.44	14.53974774	2654.02	22.4848	14.39435026	0	0	no leak
4352.86	69.45	14.25677982	4352.76	65.9775	14.25677982	0	0	no leak
9271.1	78.06	13.09225982	9271.02	75.7182	13.09225982	0	0	no leak
6151.81	13.31	14.53974774	6151.76	11.979	14.53974774	0	0	no leak
3380.72	86.24	14.25677982	3380.65	85.3776	14.25677982	0	0	no leak
6381.3	7.79	13.09225982	6381.24	7.1668	12.83041462	0	0	no leak
1838.47	20.61	14.53974774	1838.39	18.9612	14.24895279	0	0	no leak
8454.47	76.91	14.25677982	8454.42	72.2954	13.97164422	0	0	no leak
4178.95	66.79	13.09225982	4178.91	62.7826	13.09225982	0	0	no leak
1746.73	64	14.53974774	1746.66	56.96	14.53974774	0	0	no leak
7145.96	75	14.25677982	7145.93	73.5	13.97164422	0	0	no leak
4767.44	67.33	13.09225982	4767.37	65.3101	12.96133722	0	0	no leak
2238.18	61.03	14.53974774	2238.09	55.5373	14.39435026	0	0	no leak
4082.32	44.28	14.25677982	4082.25	43.8372	14.11421202	0	0	no leak
8694.68	72.66	13.09225982	8694.59	71.2068	12.96133722	0	0	no leak
3208.74	34.4	14.53974774	3208.65	31.992	14.53974774	0	0	no leak
563.77	53.31	14.25677982	563.68	47.979	14.11421202	0	0	no leak
2515.27	81.28	13.09225982	2515.22	76.4032	12.83041462	0	0	no leak
2299.05	11.13	14.53974774	2299.03	10.4622	14.39435026	0	0	no leak
9983.87	84.15	14.25677982	9983.86	77.418	14.11421202	0	0	no leak
871.49	53.06	13.09225982	871.42	49.8764	12.83041462	0	0	no leak
1464.14	67.95	14.53974774	1464.07	60.4755	14.53974774	0	0	no leak
2470.02	46.27	14.25677982	2469.96	44.8819	14.11421202	0	0	no leak
5156.52	30.38	13.09225982	5156.5	28.5572	13.09225982	0	0	no leak
9364.5	21.9	14.53974774	9364.46	20.367	14.53974774	0	0	no leak
5705.22	19.49	14.25677982	5705.12	18.7104	14.25677982	0	0	no leak
6507.4	10.6	13.09225982	6507.36	9.858	12.83041462	0	0	no leak
4292.37	5.45	14.53974774	4292.31	5.1775	14.39435026	0	0	no leak
8189.69	8.73	14.25677982	8189.63	7.7697	14.25677982	0	0	no leak
1968.92	40.47	13.09225982	1968.91	39.6606	12.83041462	0	0	no leak
1057	26.08	14.53974774	1056.94	23.2112	14.39435026	0	0	no leak
8214.68	85.47	14.25677982	8214.61	82.9059	14.11421202	0	0	no leak
6448.03	52.6	13.09225982	6448.01	49.97	12.83041462	0	0	no leak
3242.48	41.8	14.53974774	3242.41	38.874	14.39435026	0	0	no leak
